Time,rep1,rep2,rep3,rep4
35.45997,-0.06156979,-0.06003153,-0.0558279,-0.0580761
35.57997,-0.06154839,-0.06007703,-0.0559125,-0.0580722
35.69996,-0.06160239,-0.06008593,-0.05594,-0.0581042
35.81996,-0.06159639,-0.06017883,-0.0559428,-0.0581436
35.93996,-0.06163809,-0.06016333,-0.0559325,-0.0581948
36.05996,-0.06167269,-0.06018553,-0.0559506,-0.0583157
36.17996,-0.06172069,-0.06018083,-0.0560172,-0.0581492
36.29996,-0.06175649,-0.06023373,-0.0560337,-0.0581313
36.41996,-0.06180879,-0.06030793,-0.0560391,-0.058218
36.53996,-0.06188119,-0.06035243,-0.0560317,-0.0583068
36.65996,-0.06181129,-0.06036873,-0.056067,-0.0583552
36.77996,-0.06192999,-0.06033653,-0.0560857,-0.0583566
36.89996,-0.06194039,-0.06035563,-0.0561649,-0.0583903
37.01996,-0.06197489,-0.06042263,-0.0561667,-0.0583694
37.13996,-0.06197689,-0.06048113,-0.0561344,-0.0584421
37.25996,-0.06195019,-0.06049173,-0.0561151,-0.0584574
37.37996,-0.06199449,-0.06051733,-0.0562029,-0.0584634
37.49996,-0.06204249,-0.06047963,-0.0562579,-0.0583957
37.61996,-0.06209089,-0.06053153,-0.0563095,-0.0584361
37.73996,-0.06209009,-0.06065613,-0.0562944,-0.0585148
37.85996,-0.06206899,-0.06069663,-0.0562622,-0.0585868
37.97996,-0.06216569,-0.06060743,-0.0563068,-0.0585677
38.09996,-0.06224629,-0.06067123,-0.0563708,-0.0585612
38.21996,-0.06219479,-0.06066253,-0.0563843,-0.0585686
38.33996,-0.06220309,-0.06070733,-0.0563638,-0.0586209
38.45996,-0.06222049,-0.06076783,-0.0563532,-0.0586924
38.57996,-0.06220239,-0.06076813,-0.0563756,-0.0586911
38.69996,-0.06222889,-0.06071793,-0.0564588,-0.0586778
38.81996,-0.06231719,-0.06073933,-0.0564892,-0.0586783
38.93996,-0.06233439,-0.06081743,-0.0564733,-0.0587082
39.05996,-0.06233119,-0.06083203,-0.056444,-0.0587617
39.17996,-0.06233849,-0.06091123,-0.0564208,-0.0587966
39.29996,-0.06234019,-0.06087473,-0.0564235,-0.0587797
39.41996,-0.06240659,-0.06088243,-0.0564994,-0.0587849
39.53996,-0.06249409,-0.06096343,-0.0566072,-0.0588032
39.65996,-0.06247789,-0.06102443,-0.0566165,-0.0589805
39.77996,-0.06244019,-0.06104463,-0.0566017,-0.058931
39.89996,-0.06245749,-0.06102173,-0.0565748,-0.0589455
40.01996,-0.06252399,-0.06103633,-0.0565982,-0.0588794
40.13996,-0.06259999,-0.06103763,-0.0566715,-0.0589341
40.25996,-0.06262039,-0.06112033,-0.0567594,-0.0590242
40.37996,-0.06264499,-0.06115953,-0.0566504,-0.0591078
40.49996,-0.06258739,-0.06113803,-0.0566352,-0.059057
40.61996,-0.06265359,-0.06111093,-0.0566752,-0.0590154
40.73996,-0.06267879,-0.06112093,-0.0567085,-0.0590071
40.85996,-0.06272799,-0.06120223,-0.0566932,-0.0590852
40.97996,-0.06272749,-0.06119083,-0.0567032,-0.0591138
41.09996,-0.06271459,-0.06122853,-0.0566572,-0.0592346
41.21996,-0.06273319,-0.06117043,-0.0566891,-0.0591106
41.33996,-0.06277499,-0.06120123,-0.0567584,-0.0591351
41.45996,-0.06283939,-0.06127573,-0.0567648,-0.0590946
41.57996,-0.06284099,-0.06132693,-0.0567442,-0.0591908
41.69996,-0.06282569,-0.06136143,-0.0567456,-0.0592334
41.81996,-0.06287739,-0.06128163,-0.056749,-0.0592513
41.93996,-0.06287329,-0.06126803,-0.0568579,-0.0592126
42.05996,-0.06291709,-0.06130353,-0.0568258,-0.05923
42.17996,-0.06293429,-0.06137813,-0.0568701,-0.0592706
42.29996,-0.06298219,-0.06139613,-0.0568097,-0.0592887
42.41996,-0.06291629,-0.06140303,-0.0568788,-0.0593338
42.53996,-0.06294159,-0.06138233,-0.0568906,-0.0592794
42.65996,-0.06301149,-0.06141973,-0.0568919,-0.0593123
42.77996,-0.06301779,-0.06150033,-0.0569207,-0.0593089
42.89996,-0.06304299,-0.06161803,-0.0570263,-0.0593668
43.01996,-0.06299769,-0.06148043,-0.0570051,-0.0593289
43.13996,-0.06302359,-0.06145033,-0.0569366,-0.0593002
43.25996,-0.06310169,-0.06146713,-0.0569921,-0.0592993
43.37996,-0.06308879,-0.06150263,-0.0570173,-0.0593362
43.49996,-0.06309699,-0.06156543,-0.0569983,-0.0593725
43.61996,-0.06306919,-0.06157893,-0.0570106,-0.0594175
43.73996,-0.06311289,-0.06158333,-0.0570692,-0.0594004
43.85996,-0.06312979,-0.06153553,-0.0571421,-0.0593827
43.97996,-0.06319039,-0.06153953,-0.0571291,-0.0593984
44.09996,-0.06319099,-0.06162573,-0.0570812,-0.0594322
44.21996,-0.06315169,-0.06167093,-0.0571063,-0.0594734
44.33996,-0.06313649,-0.06160393,-0.0571087,-0.0594749
44.45996,-0.06313309,-0.06170283,-0.0570717,-0.0594342
44.57996,-0.06322609,-0.06161433,-0.0570889,-0.05944
44.69996,-0.06323529,-0.06168273,-0.0571321,-0.0594707
44.81996,-0.06321439,-0.06172063,-0.0571001,-0.0595306
44.93996,-0.06321709,-0.06176923,-0.0570678,-0.0595213
45.05996,-0.06326139,-0.06173653,-0.0571063,-0.0595205
45.17996,-0.06328619,-0.06177953,-0.0571807,-0.0595213
45.29996,-0.06328879,-0.06178783,-0.057195,-0.0595174
45.41996,-0.06330559,-0.06183963,-0.0571661,-0.0595711
45.53995,-0.06327069,-0.06185583,-0.0571453,-0.059607
45.65995,-0.06329889,-0.06180903,-0.0572427,-0.059592
45.77995,-0.06332509,-0.06182633,-0.0572165,-0.0595439
45.89995,-0.06330279,-0.06178963,-0.0572179,-0.0595585
46.01995,-0.06334719,-0.06182423,-0.0571703,-0.0595781
46.13995,-0.06331249,-0.06187273,-0.0571401,-0.0597065
46.25995,-0.06329089,-0.06182033,-0.0572231,-0.0597182
46.37995,-0.06331399,-0.06180383,-0.0572557,-0.059602
46.49995,-0.06340579,-0.06181103,-0.0572658,-0.0596102
46.61995,-0.06336559,-0.06188623,-0.0572643,-0.0596473
46.73995,-0.06338859,-0.06191213,-0.0572346,-0.0596935
46.85995,-0.06346349,-0.06192203,-0.0572943,-0.0596997
46.97995,-0.06339729,-0.06186083,-0.0572655,-0.0596964
47.09995,-0.06343529,-0.06190673,-0.0573396,-0.0596459
47.21995,-0.06347569,-0.06194193,-0.0573631,-0.0596371
47.33995,-0.06345889,-0.06196803,-0.0573191,-0.0597574
47.45995,-0.06343369,-0.06197213,-0.0573223,-0.0597482
47.57995,-0.06344839,-0.06194333,-0.0573522,-0.0597234
47.69995,-0.06347999,-0.06199693,-0.0573974,-0.0596821
47.81995,-0.06354879,-0.06196523,-0.0573914,-0.0596882
