family,assay_type,spearman,model
PR40A_HUMAN_Tsuboyama_2023_1UZC,Stability,0.7726262836323229,m1
MTHR_HUMAN_Weile_2021,OrganismalFitness,0.384731590983167,m1
BLAT_ECOLX_Deng_2012,OrganismalFitness,0.50753995958711,m1
PKN1_HUMAN_Tsuboyama_2023_1URF,Stability,0.3562470942460031,m1
SOX30_HUMAN_Tsuboyama_2023_7JJK,Stability,0.2023323187647512,m1
NUSG_MYCTU_Tsuboyama_2023_2MI6,Stability,0.4578518180662723,m1
GRB2_HUMAN_Faure_2021,OrganismalFitness,0.5775640858579173,m1
C6KNH7_9INFA_Lee_2018,OrganismalFitness,0.3330271943684537,m1
RASK_HUMAN_Weng_2022_abundance,Expression,0.2530212638409274,m1
RDRP_I33A0_Li_2023,OrganismalFitness,0.3938542776026393,m1
MBD11_ARATH_Tsuboyama_2023_6ACV,Stability,0.7606762335258538,m1
